genename,Tce_WB_log2FC_SB,Tce_WB_FDR_SB,Tce_WB_sexbias,Tce_WB_log2FC_SA,Tce_WB_FDR_SA,scaf_name,linkagegroup,chr_type
RBBH-17650,-0.417880164,0.550000695,Unbiased,0.332175807,0.907353041,CM009473.1,LG10,A
RBBH-17651,-0.623906259,0.306791962,Unbiased,-0.063455388,0.983005198,CM009482.1,LG7,A
RBBH-17653,0.494969108,0.270190833,Unbiased,-0.47460661,0.654108379,CM009483.1,LG8,A
RBBH-17654,0.506731657,0.20192937,Unbiased,-0.273177089,0.855589895,CM009472.1,LG1,A
RBBH-17655,-0.925182154,0.390555882,Unbiased,1.513727451,0.065589249,CM009480.1,LG5,A
RBBH-17656,-0.138618504,0.770112197,Unbiased,-0.207242396,0.90651243,CM009478.1,LG3,A
RBBH-17658,0.917768685,0.022487665,female_biased,0.797594612,0.162359206,CM009478.1,LG3,A
RBBH-17659,0.605621238,0.186571539,Unbiased,-0.028643612,0.993054497,CM009474.1,LG11,A
RBBH-1766,0.106769395,0.858327488,Unbiased,-0.006398377,0.997135654,CM009478.1,LG3,A
RBBH-17662,-0.274153374,0.561424416,Unbiased,-0.294349537,0.866251376,CM009483.1,LG8,A
RBBH-17663,-0.883928349,0.223965577,Unbiased,0.204172801,0.966383076,PGFK01000663.1,NA,NA
RBBH-17664,-1.054436152,0.624749587,Unbiased,0.575749717,0.939868978,CM009481.1,LG6,A
RBBH-17665,-0.004316647,0.997952454,Unbiased,0.379863115,0.913458548,CM009482.1,LG7,A
RBBH-17666,-1.450238858,0.280557256,Unbiased,0.494792324,0.938549605,CM009483.1,LG8,A
RBBH-17667,0.275930212,0.684009218,Unbiased,-0.484403461,0.76187742,CM009472.1,LG1,A
RBBH-17668,-0.182560851,0.722019016,Unbiased,-0.205695442,0.92655804,CM009480.1,LG5,A
RBBH-17669,-0.994809279,0.018862409,male_biased,0.606455165,0.476817794,CM009478.1,LG3,A
RBBH-1767,-0.221932498,0.716068555,Unbiased,0.494191512,0.727845633,CM009482.1,LG7,A
RBBH-17670,0.979550902,0.004770359,female_biased,-0.444843823,0.594519633,PGFK01003056.1,NA,NA
RBBH-17671,-0.592334439,0.445501094,Unbiased,0.901042215,0.34913045,CM009481.1,LG6,A
RBBH-17672,-0.032255839,0.962703539,Unbiased,-0.120499204,0.969965601,CM009479.1,LG4,A
RBBH-17674,-0.464329536,0.807470728,Unbiased,-2.212529204,0.27682709,CM009479.1,LG4,A
RBBH-17675,-0.368942757,0.633552347,Unbiased,0.114191668,0.974800993,CM009478.1,LG3,A
RBBH-17677,-0.267126027,0.658166419,Unbiased,0.333222953,0.828094455,CM009481.1,LG6,A
RBBH-17678,-0.461433325,0.443397646,Unbiased,0.146517263,0.952210871,CM009480.1,LG5,A
