genename,Tce_LG_log2FC_SB,Tce_LG_FDR_SB,Tce_LG_sexbias,Tce_LG_log2FC_SA,Tce_LG_FDR_SA,scaf_name,LG,chr_type
RBBH-17252,-0.179921948,0.975845482,Unbiased,0.161633861,0.789168991,CM009481.1,LG6,A
RBBH-17255,0.074184155,0.985015977,Unbiased,-0.279166295,0.453901874,CM009475.1,LG12,A
RBBH-17257,0.586118041,0.744399477,Unbiased,-0.083480199,0.928161482,PGFK01000666.1,NA,NA
RBBH-17258,0.83731978,0.858910231,Unbiased,-0.522715515,0.556731687,CM009479.1,LG4,A
RBBH-17261,0.804436763,0.420955434,Unbiased,-0.395699996,0.221824368,CM009484.1,LG9,A
RBBH-17262,-0.285800711,0.991165621,Unbiased,0.769649712,0.647123726,CM009475.1,LG12,A
RBBH-17263,0.24236565,0.964859235,Unbiased,-0.343162691,0.629163984,CM009474.1,LG11,A
RBBH-17265,-0.157720996,0.964859235,Unbiased,0.557650694,0.047129667,CM009478.1,LG3,A
RBBH-17266,0.069550263,0.997640133,Unbiased,0.303060171,0.81522127,CM009480.1,LG5,A
RBBH-17267,-0.542340872,0.726415412,Unbiased,0.298371032,0.565799885,CM009479.1,LG4,A
RBBH-17268,0.555174302,0.573436754,Unbiased,-0.019343572,0.964444445,CM009478.1,LG3,A
RBBH-1727,0.925939894,0.03786757,female_biased,-0.4314882,0.162938809,CM009481.1,LG6,A
RBBH-17270,0.682171416,0.861133015,Unbiased,-0.080695333,0.931837942,CM009479.1,LG4,A
RBBH-17271,0.334190936,0.802763773,Unbiased,-0.61097074,0.015800891,CM009474.1,LG11,A
RBBH-17273,0.025464648,0.997640133,Unbiased,0.564731011,0.161375873,CM009479.1,LG4,A
RBBH-17274,-2.105805713,0.344037688,Unbiased,NA,NA,PGFK01003155.1,NA,NA
RBBH-17276,0.216982537,0.963197038,Unbiased,-0.188013951,0.772076534,CM009477.1,LG2,A
RBBH-17277,0.559597642,0.934095037,Unbiased,-0.417845932,0.659236747,CM009472.1,LG1,A
RBBH-17278,0.088870622,0.980980293,Unbiased,-0.41824884,0.103004576,CM009478.1,LG3,A
RBBH-1728,0.449887483,0.689062256,Unbiased,-0.292948555,0.350056446,CM009481.1,LG6,A
RBBH-17280,0.154685936,0.968252059,Unbiased,0.047239673,0.914048861,CM009472.1,LG1,A
RBBH-17284,-0.139901312,0.971489035,Unbiased,0.564405853,0.034641518,CM009479.1,LG4,A
RBBH-17285,-0.719866447,0.765863324,Unbiased,-0.074111522,0.934776409,CM009481.1,LG6,A
RBBH-17286,0.219357981,0.968516459,Unbiased,1.585408336,3.04E-08,PGFK01000994.1,NA,NA
RBBH-17287,-0.144144658,0.965858001,Unbiased,-0.150359143,0.693478869,CM009473.1,LG10,A
RBBH-17288,0.081073803,0.983557927,Unbiased,0.27512925,0.363997617,CM009478.1,LG3,A
RBBH-17289,0.381575783,0.839578045,Unbiased,1.188761709,0.000928976,CM009479.1,LG4,A
RBBH-1729,-0.117412247,0.97979966,Unbiased,0.1663479,0.678489542,CM009478.1,LG3,A
